Birey_ID,Tarihlendirme(GÖ),Okuma_Derinliği,Kültür,Gruplar,Country,Publication,Enlem,Boylam,Veri_Tipi,Cinsiyet,Ind_type
06A010111,0,34.4146,Turkish,Günümüz,Turkey,Alkan2014,39.925533,32.866287,Rastgele dizileme,M,Modern
08P210611,0,33.1532,Turkish,Günümüz,Turkey,Alkan2014,41.183224,41.830982,Rastgele dizileme,F,Modern
24D220611,0,36.2631,Turkish,Günümüz,Turkey,Alkan2014,39.7464,39.4914,Rastgele dizileme,F,Modern
25A220611,0,28.6162,Turkish,Günümüz,Turkey,Alkan2014,39.9097,41.2756,Rastgele dizileme,M,Modern
31P140611,0,31.3075,Turkish,Günümüz,Turkey,Alkan2014,36.200001,36.166668,Rastgele dizileme,F,Modern
32A140611,0,31.4907,Turkish,Günümüz,Turkey,Alkan2014,37.768002,30.561905,Rastgele dizileme,M,Modern
33M140611,0,30.7503,Turkish,Günümüz,Turkey,Alkan2014,36.812103,34.641479,Rastgele dizileme,M,Modern
34S291210,0,34.5783,Turkish,Günümüz,Turkey,Alkan2014,41.015137,28.97953,Rastgele dizileme,M,Modern
35C240511,0,32.4198,Turkish,Günümüz,Turkey,Alkan2014,38.423733,27.142826,Rastgele dizileme,M,Modern
38I220611,0,32.3497,Turkish,Günümüz,Turkey,Alkan2014,38.734802,35.467987,Rastgele dizileme,M,Modern
42S291210,0,28.0957,Turkish,Günümüz,Turkey,Alkan2014,37.874641,32.493156,Rastgele dizileme,M,Modern
48S210611,0,31.6792,Turkish,Günümüz,Turkey,Alkan2014,36.6206,29.1142,Rastgele dizileme,F,Modern
50G301210,0,32.7185,Turkish,Günümüz,Turkey,Alkan2014,38.626995,34.719975,Rastgele dizileme,F,Modern
52C130611,0,32.4496,Turkish,Günümüz,Turkey,Alkan2014,40.97793,37.870851,Rastgele dizileme,F,Modern
57M220611,0,28.5471,Turkish,Günümüz,Turkey,Alkan2014,42.026829,35.162525,Rastgele dizileme,M,Modern
65A220611,0,40.2026,Turkish,Günümüz,Turkey,Alkan2014,38.499817,43.378143,Rastgele dizileme,M,Modern
HGDP00920,0,32.8431,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,F,Modern
HGDP00924,0,32.7562,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,F,Modern
HGDP00925,0,32.9394,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,F,Modern
HGDP00926,0,32.4068,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,F,Modern
HGDP00929,0,33.8384,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,M,Modern
HGDP00930,0,79.1794,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,M,Modern
HGDP00931,0,35.7965,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,M,Modern
HGDP00933,0,34.8364,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,F,Modern
HGDP00934,0,36.3877,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,F,Modern
HGDP00935,0,36.7182,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,F,Modern
HGDP00937,0,37.0279,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,M,Modern
HGDP00938,0,31.8879,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,F,Modern
HGDP00939,0,35.6717,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,F,Modern
HGDP00940,0,36.8242,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,M,Modern
HGDP00941,0,38.2785,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,M,Modern
HGDP00942,0,36.1432,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,M,Modern
HGDP00943,0,36.8611,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,M,Modern
HGDP00944,0,36.8193,Yoruba,Günümüz,Nigeria,BergstromScience2020,8,5,Rastgele dizileme,M,Modern
BOG028,50,1.27005,Anatolia_Bogazkoy_Ottoman,Neolitik Sonrası,Turkey,KoptekinCurrentBiology2023,40.02,34.61,Rastgele dizileme,F,Antik
I14823,298,0.248867,TUR_Marmara_Balıkesir_PostMdv,Neolitik Sonrası,Turkey,LazaridisScience2022,40.39,27.79,1240K,M,Antik
I20323,300,0.278924,TUR_Aegean_Muğla_Çapalıbağ_Mdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.34,28.04,1240K,F,Antik
I20324,300,0.272082,TUR_Aegean_Muğla_Çapalıbağ_Mdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.34,28.04,1240K,F,Antik
I20325,300,0.217641,TUR_Aegean_Muğla_Çapalıbağ_Mdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.34,28.04,1240K,F,Antik
I20326,300,0.267031,TUR_Aegean_Muğla_Çapalıbağ_Mdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.34,28.04,1240K,M,Antik
I20329,300,0.262083,TUR_Aegean_Muğla_Çapalıbağ_Mdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.34,28.04,1240K,F,Antik
I14844,311,0.19934,TUR_Marmara_İznik_Y.kapı_PostMdv,Neolitik Sonrası,Turkey,LazaridisScience2022,40.42,29.71,1240K,M,Antik
I14820,315,0.249244,TUR_Marmara_Balıkesir_Byz,Neolitik Sonrası,Turkey,LazaridisScience2022,40.39,27.79,1240K,F,Antik
I20328,318,0.240601,TUR_Aegean_Muğla_Çapalıbağ_Mdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.34,28.04,1240K,F,Antik
I4540,319,0.152421,TUR_SE_Mardin_PostMdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.415,41.373,1240K,M,Antik
I4539,330,0.136308,TUR_SE_Mardin_PostMdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.415,41.373,1240K,M,Antik
I20571,332,0.288793,TUR_Aegean_Muğla_Çapalıbağ_Mdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.34,28.04,1240K,M,Antik
MA2195,350,0.791846,Ottoman,Neolitik Sonrası,Turkey,DamgaardScience2018,39.345805,33.78813,Rastgele dizileme,F,Antik
MA2196,350,0.244202,Ottoman,Neolitik Sonrası,Turkey,DamgaardScience2018,39.345805,33.78813,Rastgele dizileme,F,Antik
I20573,510,0.264027,TUR_Aegean_Muğla_Çapalıbağ_Mdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.34,28.04,1240K,M,Antik
I20572,525,0.242772,TUR_Aegean_Muğla_Çapalıbağ_Mdv,Neolitik Sonrası,Turkey,LazaridisScience2022,37.34,28.04,1240K,M,Antik
I14645,650,0.0911572,TUR_SE_Gaziantep_Byz,Neolitik Sonrası,Turkey,LazaridisScience2022,36.87,37.54,1240K,M,Antik
I14647,650,0.0342411,TUR_SE_Gaziantep_Byz,Neolitik Sonrası,Turkey,LazaridisScience2022,36.87,37.54,1240K,M,Antik
